Egg,Cycle Start,Cycle Stop
blk_8,163,173
26_1,65,75
31_1,217,227
29_1,278,288
38_4,335,345
30_3,395,405
38_3,465,475
32_5,578,588
32_4,645,655
44_3,720,730
30_2,786,796
41_3,848,858
30_5,916,926
31_3,990,1000
26_5,1045,1055
42_4,1121,1131
27_5,1171,1181
23_4,1230,1240
41_5,1295,1305
40_3,1366,1376
32_3,1433,1443
31_4,1499,1509
28_2,1577,1587
41_4,1639,1649
41_2,1706,1716
31_5,1900,1910
44_5,1959,1969
39_4,2020,2030
44_4,2096,2106
34_3,2169,2179
34_4,2235,2245
31_2,2294,2304
42_1,2359,2369
42_2,2419,2429
44_2,2478,2488
36_3,2541,2551
35_3,2606,2616
29_5,2666,2676
32_2,2737,2747
32_1,2797,2807
26_3,2863,2873
39_3,2920,2930
36_4,2988,2998
30_1,3064,3074
26_2,3125,3135
26_4,3192,3202
44_1,3264,3274
42_3,3324,3334
33_3,3393,3403
blk_9,3490,3500
