Egg,Cycle Start,Cycle Stop
22_5,43,53
22_4,175,185
48_5,250,260
48_4,382,392
48_3,443,453
48_1,517,527
22_3,583,593
23_1,650,660
49_5,714,724
47_3,778,788
50_3,840,850
49_2,900,910
40_1,972,982
23_3,1077,1087
47_4,1137,1147
49_4,1215,1225
49_3,1280,1290
50_2,1344,1354
40_5,1412,1422
47_5,1465,1475
50_5,1553,1563
50_4,1617,1627
48_2,1679,1689
47_7,1735,1745
27_3,1975,1985
27_2,2036,2046
29_4,2093,2103
29_2,2148,2158
38_1,2221,2231
40_2,2280,2290
30_4,2342,2352
43_3,2404,2414
27_4,2490,2500
43_4,2558,2568
22_1,2687,2697
23_2,2757,2767
43_2,2816,2826
28_3,2876,2886
27_1,2936,2946
28_1,2991,3001
40_4,3044,3054
41_1,3108,3118
29_3,3177,3187
43_1,3234,3244
28_4,3395,3405
28_5,3367,3377
38_2,3431,3441
blk_19,3585,3595
blk_20,3632,3642
