,AbsTime,RelTime,Cycle,m15.009 (B_m15.009) (Corr),m18.023 (B_m18.023) (Corr),m18.921 (B_m18.921) (Corr),m18.958 (B_m18.958) (Corr),m19.019 (B_m19.019) (Corr),m20.012 (B_m20.012) (Corr),m21.010 (B_m21.010) (Corr),m27.003 (B_m27.003) (Corr),m28.914 (B_m28.914) (Corr),m29.025 (B_m29.025) (Corr),m29.980 (B_m29.980) (Corr),m30.022 (B_m30.022) (Corr),m30.998 (B_m30.998) (Corr),m31.971 (B_m31.971) (Corr),m32.903 (B_m32.903) (Corr),m32.952 (B_m32.952) (Corr),m33.021 (B_m33.021) (Corr),m34.019 (B_m34.019) (Corr),m36.906 (B_m36.906) (Corr),m36.954 (B_m36.954) (Corr),m37.026 (B_m37.026) (Corr),m37.645 (B_m37.645) (Corr),m38.009 (B_m38.009) (Corr),m38.889 (B_m38.889) (Corr),m38.935 (B_m38.935) (Corr),m39.005 (B_m39.005) (Corr),m40.001 (B_m40.001) (Corr),m40.895 (B_m40.895) (Corr),m41.014 (B_m41.014) (Corr),m42.008 (B_m42.008) (Corr),m42.916 (B_m42.916) (Corr),m42.993 (B_m42.993) (Corr),m43.998 (B_m43.998) (Corr),m44.895 (B_m44.895) (Corr),m44.951 (B_m44.951) (Corr),m45.028 (B_m45.028) (Corr),m45.938 (B_m45.938) (Corr),m46.013 (B_m46.013) (Corr),m46.915 (B_m46.915) (Corr),m46.972 (B_m46.972) (Corr),m47.048 (B_m47.048) (Corr),m47.903 (B_m47.903) (Corr),m48.031 (B_m48.031) (Corr),m49.031 (B_m49.031) (Corr),m50.892 (B_m50.892) (Corr),m51.023 (B_m51.023) (Corr),m52.025 (B_m52.025) (Corr),m52.895 (B_m52.895) (Corr),m53.011 (B_m53.011) (Corr),m54.894 (B_m54.894) (Corr),m55.025 (B_m55.025) (Corr),m56.025 (B_m56.025) (Corr),m56.933 (B_m56.933) (Corr),m57.020 (B_m57.020) (Corr),m59.033 (B_m59.033) (Corr),m61.016 (B_m61.016) (Corr),m62.894 (B_m62.894) (Corr),m62.950 (B_m62.950) (Corr),m63.030 (B_m63.030) (Corr),m64.030 (B_m64.030) (Corr),m64.910 (B_m64.910) (Corr),m65.050 (B_m65.050) (Corr),m66.044 (B_m66.044) (Corr),m66.904 (B_m66.904) (Corr),m67.039 (B_m67.039) (Corr),m68.032 (B_m68.032) (Corr),m68.921 (B_m68.921) (Corr),m69.036 (B_m69.036) (Corr),m70.919 (B_m70.919) (Corr),m71.011 (B_m71.011) (Corr),m73.043 (B_m73.043) (Corr),m74.044 (B_m74.044) (Corr),m75.054 (B_m75.054) (Corr),m76.905 (B_m76.905) (Corr),m77.037 (B_m77.037) (Corr),m78.915 (B_m78.915) (Corr),m79.048 (B_m79.048) (Corr),m80.047 (B_m80.047) (Corr),m80.996 (B_m80.996) (Corr),m81.078 (B_m81.078) (Corr),m81.942 (B_m81.942) (Corr),m82.068 (B_m82.068) (Corr),m82.927 (B_m82.927) (Corr),m83.058 (B_m83.058) (Corr),m87.032 (B_m87.032) (Corr),m89.044 (B_m89.044) (Corr),m90.922 (B_m90.922) (Corr),m91.054 (B_m91.054) (Corr),m92.049 (B_m92.049) (Corr),m92.933 (B_m92.933) (Corr),m93.078 (B_m93.078) (Corr),m93.938 (B_m93.938) (Corr),m94.073 (B_m94.073) (Corr),m94.963 (B_m94.963) (Corr),m95.078 (B_m95.078) (Corr),m95.942 (B_m95.942) (Corr),m96.072 (B_m96.072) (Corr),m101.079 (B_m101.079) (Corr),m104.938 (B_m104.938) (Corr),m105.047 (B_m105.047) (Corr),m106.948 (B_m106.948) (Corr),m107.067 (B_m107.067) (Corr),m108.072 (B_m108.072) (Corr),m108.959 (B_m108.959) (Corr),m109.079 (B_m109.079) (Corr),m118.957 (B_m118.957) (Corr),m119.063 (B_m119.063) (Corr),m120.967 (B_m120.967) (Corr),m121.084 (B_m121.084) (Corr),m133.075 (B_m133.075) (Corr),m134.989 (B_m134.989) (Corr),m135.098 (B_m135.098) (Corr),m136.000 (B_m136.000) (Corr),m137.015 (B_m137.015) (Corr),m137.157 (B_m137.157) (Corr),m138.142 (B_m138.142) (Corr),m139.120 (B_m139.120) (Corr),m155.129 (B_m155.129) (Corr),m156.128 (B_m156.128) (Corr),m163.129 (B_m163.129) (Corr),m175.056 (B_m175.056) (Corr),m181.137 (B_m181.137) (Corr),m183.153 (B_m183.153) (Corr),m203.083 (B_m203.083) (Corr),m203.940 (B_m203.940) (Corr),m205.174 (B_m205.174) (Corr),m217.146 (B_m217.146) (Corr),m218.133 (B_m218.133) (Corr),m227.103 (B_m227.103) (Corr),m273.213 (B_m273.213) (Corr),m330.839 (B_m330.839) (Corr),m429.100 (B_m429.100) (Corr),m430.102 (B_m430.102) (Corr),m445.131 (B_m445.131) (Corr),m447.116 (B_m447.116) (Corr),group_id
144,45006.0901,148.3073,145.0,1167.0739999999998,40956.93,2444.64,5184.782,28878770.0,17243.82,14637630.0,257.8622,45.624829999999996,10591.34,3663.099,944.5897,224.2972,170207.4,20.45666,467.583,13477.74,280.6587,309.5764,85.05244,3465066.0,49766.74,15144.79,47.8139,24.784,14370.88,22.64613,0.0,292.2458,27.59057,12.86213,468.9366,44.481629999999996,30.68461,497.2554,13728.75,14.93695,216.8703,0.0,2445.984,22927.67,0.0,421.0793,42.42345,0.0,1665.845,24.14903,4.70794,45.45576,13.35188,131966.0,164.055,0.0,602.4115,259.5913,713.5793,0.0,59.633880000000005,771.7869,14.336179999999999,7.039911,2747.474,75.81092,6.780692999999999,204.4968,16.595129999999997,5.011611,140.1406,0.0,58.512919999999994,185.3111,17.84064,178.4111,14.088420000000001,64.64291,5.416334,127.536,15.87892,3309.341,7913.125,12.68498,344.2278,9.918341999999999,66.74283,16.3046,53.88993000000001,38.97842,43.48511,30.50392,73.00117,415.6242,9.858808,48.15415,102.2047,614.2977,5.739475,61.120369999999994,8.238579,1.707234,0.0,8.342457000000001,54.98823,16.478820000000002,19.81754,26.07459,4.4112919999999995,5.876894999999999,9.550057,48.46673,11.68018,34.516740000000006,58.759980000000006,20.29909,1597.0379999999998,4052.513,275.3356,22.320420000000002,98.26145,10.05729,4.3138819999999996,0.0,1.0,1.0,9.005168,962.9769,102.5121,1.0,5.0032190000000005,6.003863,0.0,996.8107,2465.189,426.9465,1847.871,506.3942,blk_3
145,45006.0901,149.3073,146.0,583.7103,41398.61,2866.448,5500.107,28445320.0,18557.33,15862820.0,119.0127,47.944959999999995,10229.76,3921.0040000000004,1013.8,197.9093,171224.6,11.38458,321.3835,12557.68,196.8754,386.6512,96.02893,3464853.0,44491.12,14226.91,23.90695,48.83827,15475.75,45.30198,21.73453,180.1542,32.96588,0.0,475.6446,82.75768000000001,0.0,470.6195,12243.52,35.41511,262.3849,11.397269999999999,2154.619,21118.78,0.0,370.8566,37.120509999999996,11.27474,1705.3429999999998,28.975640000000002,4.704912,42.229859999999995,24.182920000000003,127550.4,167.598,8.366035,602.7051,323.7153,691.8413,3.665549,69.44971,604.487,17.917920000000002,13.793070000000002,2279.094,48.37123,0.0,136.846,23.237029999999997,0.0,78.68423,0.0,62.1723,212.7095,2.973758,219.1555,10.69658,64.64273,10.83441,105.8594,26.464920000000003,2764.26,6536.741999999999,5.072361,368.4169,0.0,64.26942,15.7693,47.42303,33.21301,53.45045,16.26882,58.23458,341.2,22.52125,44.165079999999996,104.2825,615.5289,8.566208999999999,34.38007,14.298820000000001,3.4133709999999997,3.4102099999999997,6.673750999999999,56.98616,11.535169999999999,23.11209,37.7879,2.940546,5.87595,13.90576,53.313869999999994,7.847606,28.1238,86.86536,22.83663,1373.53,3409.683,229.0557,14.879489999999999,66.81043000000001,5.587066,4.3138819999999996,3.0693509999999997,2.000644,3.001932,9.005151,1063.629,123.4811,3.001932,3.001932,1.0,1.0,1088.4569999999999,2282.937,369.0222,1773.2910000000002,512.8076,blk_3
146,45006.0901,150.3073,147.0,1500.682,42645.93,1653.253,7145.481,28336350.0,18530.92,17194400.0,198.3552,15.98165,10324.41,4131.454000000001,1234.052,158.3269,173185.2,22.76183,318.0085,11751.85,239.0343,288.7385,73.81766999999999,3464861.0,40164.96,13760.52,15.937970000000002,48.29463,15360.3,32.85548,7.2448440000000005,291.9365,20.69292,0.0,349.5378,70.61938,0.0,434.8821,10847.79,23.61017,260.9482,11.3936,2070.034,20439.37,0.0,458.6007,21.66403,9.993406,1712.156,24.14593,0.0,18.768829999999998,13.35188,122299.4,125.1993,8.429197,610.5615,286.9636,631.4644,0.0,37.19988,631.6646,21.50433,3.5199550000000004,2211.326,41.64756,3.390346,116.4082,21.1383,3.2659290000000003,84.73573,0.0,43.506479999999996,198.1606,8.921275999999999,163.4313,10.566310000000001,61.83214,5.416334,94.56468000000001,18.52371,2468.346,5776.693,5.073993,259.3996,3.136207,54.38293,13.51506,30.178290000000004,33.20698,39.34369,18.30104,42.28419,292.1161,14.793389999999999,45.25652,103.2811,548.5851,1.913568,42.02016,8.936765,6.828964999999999,6.8204199999999995,12.94556,51.66105,14.830929999999999,24.68639,27.704240000000002,1.4698,5.875951000000001,10.097560000000001,41.786590000000004,5.191180999999999,21.40001,62.596090000000004,10.14911,1213.896,2996.9190000000003,224.3007,21.07966,69.0444,4.470228,7.549294000000001,2.046015,0.0,4.001932,6.003236,1067.285,134.1571,2.000644,3.001932,3.001932,1.0,974.3947,2129.397,396.7019,1630.3429999999998,459.132,blk_3
147,45006.0901,151.3073,148.0,500.2683,40931.15,2552.617,5297.559,28282740.0,20466.64,16854590.0,178.5198,47.93468,9340.916,4257.248,1232.5,184.7151,172986.6,0.0,246.0129,11854.07,255.3999,425.9579,73.28384,3453264.0,36606.39,14364.39,15.937970000000002,31.84961,14617.51,37.75165,17.50366,309.8665,6.897641999999999,26.55408,295.7443,37.80453,6.132975,313.7964,10075.95,67.47205,261.6501,39.89053,2195.2670000000003,19235.85,15.30464,431.0766,53.025890000000004,4.995096,1554.469,48.297990000000006,0.0,55.19781999999999,17.79972,118679.2,168.3572,8.429197,443.4847,303.2786,570.9943,3.667908,34.69748,446.8468,14.333879999999999,7.042177000000001,2012.395,58.57884,0.0,119.4122,16.59727,3.2659290000000003,72.11958,0.0,50.29721,192.0815,14.868789999999999,162.3599,16.90615,50.5901,2.709038,110.7761,10.58429,2166.2870000000003,5092.964,10.14635,307.4301,6.431424,42.02324,29.284359999999996,32.33384,18.683020000000003,43.48515,8.133053,54.81383,271.5288,11.83057,32.51263,72.18944,444.985,5.739475,35.18588,6.2836620000000005,1.706136,1.7040080000000002,11.67987,49.99457,11.535169999999999,24.64282,31.16726,3.4576050000000005,4.406727,4.326599,37.45875,7.785937,28.2973,71.8478,17.761570000000003,975.2268,2555.8289999999997,168.1591,23.5605,57.3027,6.704623,3.235411,1.022678,4.001932,4.001932,9.005167,997.1331,135.9376,2.000644,4.002575,3.001288,1.000644,1074.563,2094.344,390.7548,1429.28,441.4204,blk_3
148,45006.0902,152.3073,149.0,416.8277,42330.3,2316.778,5184.175,28684910.0,19888.52,16573450.0,122.4226,0.0,9986.429,4073.387,878.0294,184.689,177657.9,22.76915,267.8468,12067.5,147.5537,371.3949,70.57825,3471348.0,33759.29,14249.75,71.72098000000001,70.65613,14130.88,15.100660000000001,14.48969,158.5353,18.07936,0.0,370.2418,57.43869,12.2699,418.8635,9502.402,35.415209999999995,188.3582,17.09591,1755.5410000000002,18809.09,5.506659,398.2689,53.0293,4.995096,1711.125,27.28077,4.704912,32.84545,31.154459999999997,114491.0,138.136,4.213243,436.3045,299.0523,498.3484,3.665549,47.154709999999994,459.0891,3.5817410000000005,10.5644,2157.359,72.36525999999999,3.3881650000000003,106.0643,16.59727,0.0,43.76592,0.0,28.29127,187.8072,21.46687,126.7231,16.90429,53.4006,0.0,105.3702,13.230739999999999,1943.0829999999999,4383.072,8.640011999999999,225.6582,0.0,50.847359999999995,11.262310000000001,54.42768,43.59248,53.49078000000001,24.07611,48.013020000000004,242.4929,13.802389999999999,35.41807,79.46965,432.014,8.355681,22.92004,12.5115,3.4122730000000003,11.933539999999999,10.01116,44.995129999999996,16.478839999999998,13.18193,42.3713,2.940546,10.283619999999999,11.53917,40.34563,5.191180999999999,16.62118,70.55141,15.650279999999999,888.4197,2190.683,166.504,19.84039,60.66955,2.234395,4.3138819999999996,0.0,0.0,5.002576,7.004507,1086.883,147.5604,2.000644,4.002575,1.0,0.0,1129.521,1897.07,358.1569,1365.451,371.5367,blk_3
149,45006.0902,153.3073,150.0,500.3219,41060.67,2610.922,5661.517,28407340.0,19077.84,16701150.0,181.1154,15.98165,9940.607,4396.090999999999,1098.933,198.9656,175770.7,0.0,421.531,12302.54,221.3314,432.3156,107.2119,3344077.0,30788.46,13996.29,38.73984,55.65529,13673.21,30.201320000000003,21.73453,261.661,27.586129999999997,6.63852,303.7188,95.31376999999999,18.40682,284.4341,8677.556999999999,17.70756,235.4487,5.694969,1743.0,17585.65,0.0,409.6083,63.63534,4.995096,1510.9470000000001,43.46819,9.412852,32.84568,35.605090000000004,110917.8,176.9918,8.431909,467.4671,315.9589,494.5164,0.0,32.12621,444.2225,3.584046,6.030914,1929.925,55.94902,0.0,118.5537,6.637625999999999,6.529757,84.7244,0.0,59.7265,134.5367,20.81631,169.9215,18.64337,55.17896999999999,5.416334,83.75719000000001,18.52371,1736.309,4067.5040000000004,6.003915,238.3548,4.9591709999999996,49.4392,18.02208,45.26746,49.81279,33.13142,14.854339999999999,33.77006,230.5971,9.858839999999999,29.51495,53.224430000000005,423.0056,3.825907,36.29016,16.08511,1.706136,1.7040080000000002,1.6676330000000001,61.34666,21.33237,25.52252,30.96353,2.9414919999999998,4.407672,14.559429999999999,56.195780000000006,2.5947560000000003,23.26295,72.81596,11.41783,803.8689,1960.0710000000001,168.2624,13.640260000000001,36.42438,5.587784,10.78472,2.046015,0.0,1.0,6.00322,1096.818,164.4135,2.000644,2.001288,1.0,1.0,1142.965,1658.976,366.9842,1313.832,347.4801,blk_3
150,45006.0902,154.3073,151.0,333.4944,38470.05,1866.126,6238.888000000001,29259230.0,21654.91,14522320.0,238.0006,15.97137,9631.638,4185.965999999999,994.1628,277.1248,175255.9,11.38458,360.1573,11377.33,270.2828,477.686,105.2825,3358269.0,27986.31,13732.42,55.78301,55.65569,13784.04,22.65111,7.240185,180.1542,6.893205,13.272770000000001,314.9498,38.12702,24.54769,348.9901,8310.585,10.698310000000001,221.2383,5.6986349999999995,1772.005,17266.6,14.433470000000002,356.3774,47.726459999999996,4.995096,1409.6989999999998,38.6353,18.82873,18.768829999999998,31.154390000000003,109009.8,194.2751,8.429197,409.4366,321.1706,492.8764,3.665549,43.961729999999996,430.983,17.917920000000002,0.0,1901.4920000000002,37.9031,3.3881650000000003,94.71659,9.959641,3.2659290000000003,71.69937,6.2958989999999995,62.87426,169.6325,8.919363,140.0836,0.0,44.963359999999994,2.709038,62.138769999999994,7.939463000000001,1550.5829999999999,3641.135,12.68176,245.41,4.9591709999999996,39.5513,9.009556,45.267379999999996,32.40345,46.39702,0.0,31.61719,263.7619,3.9435230000000003,33.45037,49.152640000000005,354.1301,3.825907,21.01004,8.935614999999999,5.120605,3.669972,13.78537,41.66214,3.2957629999999996,34.26806,48.38689,1.4698,4.406727,2.885018,31.36246,9.017828999999999,16.62036,62.830569999999994,11.417869999999999,677.3174,1733.691,158.6745,17.360329999999998,50.56113,5.587065,3.234718,0.0,3.001288,1.000644,9.005168,1043.405,164.2104,1.0,2.001288,5.001932,1.0,1157.162,1697.1589999999999,300.6651,1154.786,307.3359,blk_3
151,45006.0902,155.3073,152.0,295.4375,46622.11,2569.224,5813.104,28872400.0,18102.48,16737720.0,238.0258,72.69778000000001,9913.021,4097.833,1103.729,250.685,177471.9,0.0,352.5972,11354.24,231.0269,285.0585,90.05003,3583795.0,27333.24,13350.89,15.937970000000002,63.60618,13615.53,37.75165,10.68332,194.5668,27.59068,13.27704,324.2562,57.19053,0.0,326.6508,7723.979,23.606279999999998,153.041,0.0,1623.4129999999998,16216.1,5.506659,361.8601,53.0294,0.0,1337.6029999999998,28.978820000000002,4.704912,37.537729999999996,8.898392999999999,105571.8,108.6303,0.0,458.7122,266.7196,458.6024,0.0,24.62718,409.7725,25.08602,3.5199550000000004,1745.411,40.92519,0.0,111.5969,9.957506,9.795687,45.62685,3.146937,40.868190000000006,152.7418,8.921275999999999,97.03675,21.39497,42.15815,0.0,89.15903,2.6447849999999997,1513.275,3631.0290000000005,5.946085,175.035,4.9591709999999996,76.63074,11.262310000000001,23.71153,15.82864,24.848570000000002,16.26875,43.50457,210.7949,11.8293,35.41798,52.55834,355.3936,3.825907,31.20171,8.936765,3.4122730000000003,8.524428,14.63924,29.9967,8.239408000000001,26.10909,26.0747,5.882063,8.814423,8.654124000000001,43.22752,9.083733,18.12951,51.09924,6.342877,628.8008,1556.1670000000001,126.2448,19.839660000000002,47.64343,10.05729,6.470823,0.0,3.001932,3.001288,7.003863000000001,1102.737,194.1204,1.0,5.003235,3.001932,1.0,1085.269,1418.003,275.5822,1007.689,325.3486,blk_3
152,45006.0902,156.3073,153.0,536.9457,45237.28,2843.176,5471.646,28343350.0,20160.41,18701950.0,138.8492,15.98165,10270.44,4014.837,1258.608,238.8049,176201.7,11.38458,354.1377,10599.25,241.072,388.2928,76.59238,3501587.0,24922.84,12848.97,31.87593,63.60618,13614.33,47.1162,0.0,194.5415,20.69292,19.91556,361.4026,50.40184,12.27384,310.6015,7407.281,35.41132,170.6998,20.000870000000003,1706.8429999999998,15828.76,5.506659,306.9742,63.631840000000004,2.430819,1340.6779999999999,33.80854,4.704912,18.765810000000002,8.898392999999999,103161.6,126.0345,4.213243,481.22,266.8578,527.9717,0.0,25.643179999999997,345.0786,10.752139999999999,7.039911,1829.527,58.57657,0.0,91.30835,6.639761,6.529757,82.71803,3.146937,50.29721,166.6441,8.921275999999999,95.50941,16.90429,42.15829,5.418076999999999,87.43008,7.937803999999999,1345.161,3109.8179999999998,0.0,177.069,2.3618349999999997,32.13374,13.72771,38.53111,20.75761,51.07243,8.133053,51.612590000000004,199.8512,13.801060000000001,21.64433,54.733909999999995,297.6942,1.912338,30.55888,7.149411,0.0,5.114218,6.6737779999999995,29.99675,9.88729,16.31806,43.46609,2.940546,2.938448,9.420481,37.46386,11.67932,24.951060000000002,85.59161,19.03031,581.0515,1375.289,131.1374,12.40024,55.337140000000005,2.235114,5.39237,0.0,3.001932,3.001932,7.004507,1065.275,169.243,0.0,0.0,3.001288,2.000644,1171.377,1272.859,270.5391,935.3707,291.616,blk_3
153,45006.0902,157.3073,154.0,500.3246,42953.75,2689.255,5520.125,28927800.0,18029.91,15632060.0,82.63481999999999,47.944959999999995,9550.176,4121.052,989.0153,318.5881,179007.8,34.15392,365.8573,10561.27,166.8005,322.8279,84.1737,3447486.0,24791.47,13116.6,39.84492,62.70551,13749.5,16.29515,7.240185,200.1964,6.897641999999999,13.272770000000001,339.9851,50.83603,12.27384,335.47,7504.295,23.61007,214.6746,11.397269999999999,1704.771,15654.91,11.01332,303.7252,74.24136999999999,4.995096,1214.614,4.826683999999999,0.0,26.69609,22.25314,101845.4,139.138,4.213243,450.3658,309.9909,587.0017,3.665549,45.84438,359.8922,3.5817410000000005,14.08888,1728.579,48.24341,0.0,104.8334,6.637625999999999,0.0,73.02757,0.0,44.00992,152.5885,14.868839999999999,112.9405,5.633555,30.91607,8.125372,75.65149,10.58429,1325.9660000000001,2994.789,0.0,190.7529,4.957576,23.5994,13.51506,51.73418,31.13705,44.892540000000004,14.233820000000001,35.73372,198.8357,8.039821,23.61196,45.05787,253.3774,7.653042999999999,32.470040000000004,14.298820000000001,0.0,1.7040080000000002,1.6676330000000001,41.66106,3.2957629999999996,36.07737,45.63058,1.4698,5.875951000000001,15.20176,47.5502,3.893386,24.9765,74.33838,15.224110000000001,577.3439,1356.808,126.1513,4.960089,42.696659999999994,6.704623,4.3138819999999996,1.022678,3.001288,0.0,7.168675,1076.039,150.0842,1.0,1.0,1.0,2.000644,1151.479,1066.032,246.4503,811.5612,236.838,blk_3
