,AbsTime,RelTime,Cycle,m18.939 (B_m18.939) (Corr),m19.017 (B_m19.017) (Corr),m19.088 (B_m19.088) (Corr),m28.931 (B_m28.931) (Corr),m29.014 (B_m29.014) (Corr),m29.893 (B_m29.893) (Corr),m29.987 (B_m29.987) (Corr),m30.910 (B_m30.910) (Corr),m31.003 (B_m31.003) (Corr),m31.892 (B_m31.892) (Corr),m31.992 (B_m31.992) (Corr),m32.073 (B_m32.073) (Corr),m32.923 (B_m32.923) (Corr),m33.016 (B_m33.016) (Corr),m33.883 (B_m33.883) (Corr),m33.979 (B_m33.979) (Corr),m36.920 (B_m36.920) (Corr),m37.022 (B_m37.022) (Corr),m37.115 (B_m37.115) (Corr),m37.916 (B_m37.916) (Corr),m38.904 (B_m38.904) (Corr),m39.012 (B_m39.012) (Corr),m39.908 (B_m39.908) (Corr),m40.915 (B_m40.915) (Corr),m42.898 (B_m42.898) (Corr),m43.897 (B_m43.897) (Corr),m44.914 (B_m44.914) (Corr),m45.015 (B_m45.015) (Corr),m45.131 (B_m45.131) (Corr),m45.910 (B_m45.910) (Corr),m46.930 (B_m46.930) (Corr),m47.027 (B_m47.027) (Corr),m47.162 (B_m47.162) (Corr),m47.924 (B_m47.924) (Corr),m48.005 (B_m48.005) (Corr),m49.885 (B_m49.885) (Corr),m50.913 (B_m50.913) (Corr),m51.016 (B_m51.016) (Corr),m52.910 (B_m52.910) (Corr),m54.915 (B_m54.915) (Corr),m55.022 (B_m55.022) (Corr),m56.910 (B_m56.910) (Corr),m58.923 (B_m58.923) (Corr),m60.907 (B_m60.907) (Corr),m61.906 (B_m61.906) (Corr),m62.916 (B_m62.916) (Corr),m63.019 (B_m63.019) (Corr),m64.927 (B_m64.927) (Corr),m65.027 (B_m65.027) (Corr),m65.923 (B_m65.923) (Corr),m66.929 (B_m66.929) (Corr),m67.933 (B_m67.933) (Corr),m68.912 (B_m68.912) (Corr),m70.912 (B_m70.912) (Corr),m72.928 (B_m72.928) (Corr),m76.910 (B_m76.910) (Corr),m77.915 (B_m77.915) (Corr),m78.925 (B_m78.925) (Corr),m79.933 (B_m79.933) (Corr),m80.955 (B_m80.955) (Corr),m81.944 (B_m81.944) (Corr),m82.944 (B_m82.944) (Corr),m86.913 (B_m86.913) (Corr),m88.923 (B_m88.923) (Corr),m90.937 (B_m90.937) (Corr),m91.934 (B_m91.934) (Corr),m92.957 (B_m92.957) (Corr),m93.956 (B_m93.956) (Corr),m94.949 (B_m94.949) (Corr),m95.945 (B_m95.945) (Corr),m104.935 (B_m104.935) (Corr),m105.939 (B_m105.939) (Corr),m106.963 (B_m106.963) (Corr),m107.961 (B_m107.961) (Corr),m108.961 (B_m108.961) (Corr),m116.933 (B_m116.933) (Corr),m118.952 (B_m118.952) (Corr),m120.988 (B_m120.988) (Corr),m121.974 (B_m121.974) (Corr),m122.978 (B_m122.978) (Corr),m130.950 (B_m130.950) (Corr),m132.963 (B_m132.963) (Corr),m133.973 (B_m133.973) (Corr),m134.985 (B_m134.985) (Corr),m136.003 (B_m136.003) (Corr),m137.028 (B_m137.028) (Corr),m138.009 (B_m138.009) (Corr),m144.967 (B_m144.967) (Corr),m148.999 (B_m148.999) (Corr),m155.009 (B_m155.009) (Corr),m161.006 (B_m161.006) (Corr),m175.027 (B_m175.027) (Corr),m179.024 (B_m179.024) (Corr),m180.023 (B_m180.023) (Corr),m203.074 (B_m203.074) (Corr),m204.070 (B_m204.070) (Corr),m217.084 (B_m217.084) (Corr),m227.105 (B_m227.105) (Corr),m228.082 (B_m228.082) (Corr),m229.084 (B_m229.084) (Corr),m230.093 (B_m230.093) (Corr),m241.087 (B_m241.087) (Corr),m329.790 (B_m329.790) (Corr),m429.071 (B_m429.071) (Corr),group_id
26,45005.9143,26.0,27.0,434199.8,1430.537,0.0,224.2712,15.82042,124166.1,779.9443,9226.011999999999,119.074,5445518.0,0.0,0.0,1894.8329999999999,242.4778,10575.66,26704.12,29781.57,246.341,34.97704,41.880759999999995,270.7228,7.920513000000001,45.49853,123.0517,6118.691999999999,933.1443,9189.394,277.2167,18.24677,683.8377,153.7841,11.35254,11.29509,21.991410000000002,0.0,1561.156,19.977,0.0,202.3562,101.5576,4.435054,63.27376999999999,8.017612,19.13818,0.0,47.65867,10.9753,35.210190000000004,3.5141660000000003,31.083109999999998,852.2872,721.4317,45.71935,18.8942,9.10469,184.7418,58.62607,815.9667,582.3959,410.306,60.885740000000006,7.434058,2.257419,0.0,265.7204,987.1438,4948.056,1297.0430000000001,358.5893,32.760979999999996,17.07304,27.00443,935.2708,274.1267,17.949460000000002,0.0,18.89573,1042.877,83.8502,8.492265,0.0,2.597076,6.4424019999999995,6.392119,477.3141,122.1403,4.867290000000001,0.0,2.3257470000000002,2.247921,3.268569,0.0,4.031425,1.003525,2.000644,1.000644,0.0,0.0,0.0,0.0,0.0,0.0,1319.01,0.0,blk_14
27,45005.9143,27.0,28.0,593157.1,1813.6670000000001,250.161,424.8032,31.640829999999998,124240.3,674.0809,9576.405999999999,119.3599,5437479.0,0.0,0.0,1770.254,311.075,10392.66,32891.7,49669.14,330.4668,34.97704,92.13242,238.9026,0.0,22.74683,99.66367,6294.24,1080.8,9793.033000000001,224.5804,18.24667,720.77,274.7082,34.05772,0.0,33.0166,0.0,1474.7879999999998,24.21431,0.0,111.6371,147.8456,8.870108,80.14785,4.007516000000001,34.45065,3.7427550000000003,62.323730000000005,3.658432,28.165840000000003,7.028333,27.629140000000003,791.6354,605.4187,44.08282,15.744879999999998,0.0,165.1298,41.44534,728.17,498.5801,406.7489,48.19951,0.0,4.514838,0.0,242.9125,899.2059,4119.28,1181.611,316.2925,36.35497,17.07315,15.18948,834.4684,293.9449,19.49096,0.0,23.53319,923.0886,72.87058,5.662116999999999,1.494657,0.0,2.576464,19.17885,391.4419,114.5685,8.749089,0.0,3.4889940000000004,1.123599,2.1788119999999997,0.0,4.030776,1.003525,1.000644,5.002575,0.0,0.0,0.0,0.0,0.0,0.0,1135.636,0.0,blk_14
28,45005.9143,28.0,29.0,1797288.0,2702.473,83.38699,795.6475,22.49465,127232.8,619.8026,12213.2,114.612,5479604.0,0.0,0.0,2403.488,230.1228,9696.309000000001,27234.4,291629.4,760.7967,71.14959,284.762,611.2682,15.841029999999998,37.914629999999995,123.0517,7276.763000000001,943.0677,19861.68,404.6086,42.57565,762.7828,1247.835,62.60329,11.29873,71.68661,10.975010000000001,725.0604,50.4385,9.958502000000001,188.235,1397.57,13.35319,54.840030000000006,28.05388,313.9269,18.72341,319.1968,34.6122,112.6734,17.57095,17.26738,717.3032,512.4475,29.39625,22.043570000000003,12.14029,138.055,66.31286999999999,717.4833,555.0686,481.9875,66.5832,9.912608,2.257419,0.0,174.4776,789.1058,3798.986,1143.07,349.3754,21.04702,17.0731,20.25406,771.5464,245.292,11.42136,1.4995459999999998,22.06147,836.2809,71.10809,5.661207,1.319421,1.2981200000000002,3.86511,14.0591,338.0182,195.8906,21.24897,1.191384,3.4889940000000004,3.372242,3.268569,1.0227950000000001,5.039280000000001,1.004171,1.000644,1.829302,0.0,1.0,0.0,0.0,2.0,0.0,1097.619,2.000644,blk_14
29,45005.9143,29.0,30.0,2118552.0,2313.677,83.38699,738.0657,15.82042,125657.1,513.0056,7540.335999999999,105.8385,5551291.0,0.0,0.0,1916.539,169.41,9168.483,20085.86,422460.8,670.6538,61.20981999999999,393.6848,949.6487,2.8928439999999997,53.08755,94.09846,4401.566,770.0152,16389.92,316.1734,17.807129999999997,796.4998,1289.204,5.676271,0.0,93.54715,5.262429,601.6756,53.794830000000005,4.9792510000000005,159.9852,2377.087,80.15149,75.31127,20.05048,240.1577,11.233080000000001,370.3777,36.59765,104.0562,7.028333,31.355109999999996,638.0244,542.2983,58.7947,37.790420000000005,14.57898,118.3231,55.258669999999995,567.303,483.4139,516.5098,60.628209999999996,2.478551,4.516291000000001,4.320818,166.5776,765.0975,3530.7470000000003,1008.779,337.7611,24.8753,15.365739999999999,11.81378,730.2673,279.9886,24.47553,0.0,8.823992,802.8612,52.866440000000004,1.414619,0.0,2.597076,3.3818669999999997,6.392119,357.1269,172.939,12.49986,0.0,1.163247,3.372242,1.089056,0.0,3.0235689999999997,0.0,1.000644,3.454705,0.0,0.0,0.0,0.0,0.0,0.0,1118.6680000000001,2.0,blk_14
30,45005.9144,30.0,31.0,2133007.0,2575.756,166.774,755.8252,15.82042,126495.2,525.0766,6861.444,79.22395,5405950.0,0.0,0.0,1879.2839999999999,137.4731,9357.891,2651.3509999999997,422111.8,759.2516,87.44275,322.144,881.9521,12.39127,60.666709999999995,79.62161,3904.167,775.363,13890.67,271.8057,28.997559999999996,706.9646,1229.521,28.442829999999997,0.0,88.89354,0.0,564.2688,42.95551,4.9792510000000005,136.4725,2349.337,49.05785,67.49248,24.05806,223.8124,0.0,285.971,7.316864999999999,98.58878,7.028333,10.359539999999999,467.3499,416.281,35.93142,12.595460000000001,15.17579,95.79311,30.56588,516.6437,401.947,417.6266,88.79175,9.912608,0.0,6.483312000000001,132.5612,672.2657,2929.215,856.9377,285.9797,19.13354,15.364670000000002,15.190539999999999,617.7274,198.7424,16.31666,1.4995459999999998,14.707310000000001,572.477,54.29529,5.662116999999999,0.0,0.0,1.287817,6.39214,298.9474,147.3396,14.99978,2.3835349999999997,1.162499,6.745207000000001,2.1788119999999997,0.0,3.02292,0.0,0.0,2.000644,0.0,0.0,0.0,1.0,0.0,1.0,1075.504,1.0,blk_14
31,45005.9144,31.0,32.0,2081019.0,1681.891,324.2646,686.6876,0.0,129599.2,466.857,6317.326,92.01612,5417691.0,0.0,0.0,1553.953,218.9283,9450.396,47705.37,421524.2,553.7274,104.9317,376.5582,874.118,7.920513000000001,15.1678,73.4158,3617.703,551.3981,13320.03,191.4927,24.32899,684.1363,1017.0269999999999,11.35254,0.0,62.94851,0.0,606.4455,39.95747,0.0,103.5137,2259.226,80.19966,67.49248,20.0479,195.7081,14.97825,263.9596,14.76949,91.54693,3.5141660000000003,27.62919,555.3341,421.4256,37.78575,6.296715,15.17579,129.6027,46.6045,428.8621,368.2096,379.6802,45.66426,14.8713,9.034034,2.159714,165.7581,661.7108,2645.421,831.6511,217.8266,12.54225,5.121912,28.69225,539.9567,174.4931,15.79396,0.0,8.823992,618.1829,47.151070000000004,1.414619,0.0,2.597076,2.576464,12.78508,240.4016,130.4407,11.24907,0.0,2.326495,5.6208860000000005,2.1788119999999997,0.0,0.0,0.0,0.0,1.000644,0.0,0.0,2.0,1.0,0.0,0.0,1127.036,1.0,blk_14
32,45005.9144,32.0,33.0,2094947.0,1846.7839999999999,250.161,567.1345,11.401819999999999,128421.6,450.7565,5278.229,105.6961,5560106.0,0.0,0.0,1394.8039999999999,225.851,9355.832,15917.64,419957.7,709.0339,78.69835,363.777,831.3862,15.841029999999998,22.75171,95.18214,3421.7470000000003,593.447,11753.2,145.6551,16.73799,615.3147,807.3408,39.7339,5.649364,66.03356,0.0,625.0107,62.85776,14.93775,115.3784,2162.775,55.653819999999996,67.49248,20.04797,165.56,18.723470000000002,278.9131,7.316864999999999,59.857459999999996,7.028333,6.9056169999999995,505.2307,369.2982,29.39625,6.296715,6.069143,101.4276,35.919270000000004,443.4299,339.7643,344.5435,27.9043,2.478551,0.0,6.480531,159.4111,548.9504,2408.174,687.9366,262.068,17.22007,10.24275,15.18946,476.0343,157.027,13.0531,0.0,10.295760000000001,527.4547,58.828669999999995,1.414619,0.0,0.5070782,1.287817,23.01381,218.5619,121.5599,6.249105999999999,0.0,0.0,3.372242,1.089056,0.0,4.030777,0.0,1.000644,2.000644,1.0,0.0,0.0,0.0,0.0,2.000644,1112.594,1.0,blk_14
33,45005.9144,33.0,34.0,2069501.0,1999.7920000000001,83.38699,648.8317,0.0,128095.0,720.4851,5096.721,122.4459,5346601.0,0.0,0.0,1778.7939999999999,193.7341,9769.616,23120.68,419463.7,542.8698,109.3377,397.7124,797.571,7.920513000000001,7.579022999999999,79.62185,3049.565,789.9816,10679.44,189.0911,18.24667,635.6535,740.5005,17.02881,0.0,58.23047,0.0,613.9371,39.96051,4.9792510000000005,80.00059,2221.013,35.68865,46.40275,8.017612,145.4697,0.0,256.9247,7.402669,102.1075,0.0,6.9056169999999995,434.2372,343.7632,16.332520000000002,22.043570000000003,15.17583,89.18964,30.39142,395.6691,301.8309,299.4969,40.58128,7.435652,6.775163,4.320818,111.759,483.1455,2134.823,665.3135,243.3426,11.47963,8.535422,11.81378,475.6903,144.4018,9.789562,0.0,16.1781,455.9149,55.72525,4.245677,1.319421,0.0,5.153756,7.670707000000001,197.1112,119.5927,9.999875,0.0,1.162499,4.496564,0.0,0.0,2.0150639999999997,0.0,0.0,3.001932,0.0,0.0,0.0,0.0,1.0,0.0,1209.445,2.000644,blk_14
34,45005.9144,34.0,35.0,2085480.0,1317.6970000000001,83.38699,425.3026,31.640829999999998,127283.7,529.3124,5150.298,156.2172,5530301.0,0.0,0.0,1437.51,283.9459,10428.6,28989.69,422451.8,690.1727,69.95423000000001,385.2485,975.1017,15.841029999999998,22.75171,50.66826,2791.183,792.9017,10364.37,142.8941,12.164439999999999,751.2953,726.0027,22.70509,5.649364,94.23470999999999,5.487503,552.2901,29.967109999999998,0.0,47.05628,2160.101,69.01006,50.61868,40.10102,150.286,7.487919000000001,256.6265,22.00776,66.89948000000001,7.028333,17.26738,386.5239,289.3745,48.99746,15.744879999999998,0.0,107.0631,11.05028,352.2816,264.4901,246.0897,25.36569,7.434099000000001,4.517744,0.0,109.9917,489.1496,2051.612,681.243,212.2182,13.39311,6.828146,13.33128,424.0802,106.8593,19.5813,0.0,7.354114,421.5632,34.292320000000004,8.237912,2.6396919999999997,0.0,1.287817,12.78512,184.0869,78.05998000000001,9.999051,1.191384,1.162499,3.372242,0.0,0.0,0.0,0.0,1.000644,4.002575,2.000644,0.0,0.0,0.0,1.0,0.0,1149.807,0.0,blk_14
35,45005.9144,35.0,36.0,2066881.0,2159.312,83.38699,679.7399,15.82042,127808.9,527.9006,4614.009,65.98822,5438468.0,0.0,0.0,1606.3929999999998,273.1834,9629.786,18549.92,417757.7,605.989,56.73565,347.5846,888.7755,0.0,22.75171,115.8087,2635.4709999999995,721.9279,9623.801,131.688,6.082222,663.1863,842.2221,45.43094,0.0,88.68925,0.0,659.4214,39.93943,0.0,77.64627,2163.846,46.70369,64.66218,16.0378,179.9206,3.7427550000000003,201.6173,14.633729999999998,88.01099,0.0,17.26738,391.2704,362.5988,32.66278,12.595460000000001,15.17578,112.6205,35.919270000000004,307.3179,244.0824,273.4691,30.44111,4.791022,0.0,2.159714,97.19946999999999,510.2858,1726.109,485.0888,183.6051,9.564925,11.95003,6.750267999999999,382.5709,146.8449,13.0531,3.000057,14.708229999999999,388.6837,34.29138,1.414619,2.6396919999999997,1.2981200000000002,0.0,8.950118,192.9723,89.39146,12.49902,1.191384,0.0,3.372242,3.268569,0.0,0.0,0.0,2.001288,5.003235,0.0,1.0,1.0,1.0,0.0,0.0,1179.127,2.000644,blk_14
